cat,percentile_60,percentile_40,percentile_50,percentile_30,percentile_80,percentile_90,percentile_20,percentile_10,percentile_100,percentile_70
dist2trfc,424.264068604,300.0,360.555114746,223.606796265,728.010986328,1389.24438477,200.0,141.421356201,9402.12695312,538.516479492
dist2wtr,565.685424805,300.0,412.310577393,200.0,1000.0,1431.78210449,100.0,0.0,6718.63085938,728.010986328
dist2ntr,1902.62976074,1216.55249023,1529.70581055,921.954467773,2842.53417969,3623.53417969,640.312438965,360.555114746,9213.03417969,2319.48266602
dist2rsda,1456.02197266,943.398132324,1204.15942383,707.106811523,2236.06787109,3046.30932617,500.0,223.606796265,11335.7841797,1788.85437012
dist2office,1513.27453613,984.885803223,1216.55249023,728.010986328,2376.97290039,3301.51489258,509.901947021,300.0,10604.2441406,1878.82946777
dist2recr,2220.36035156,1552.41748047,1878.82946777,1220.65551758,3162.27758789,4000.0,905.538513184,538.516479492,10780.0742188,2640.07568359
dist2frst,1300.0,806.225769043,1019.80389404,600.0,2100.0,2844.29248047,412.310577393,223.606796265,9360.55566406,1627.88208008
dist2sports,1788.85437012,1204.15942383,1486.60693359,943.398132324,2640.07568359,3501.42822266,707.106811523,424.264068604,12200.0,2147.09106445
dist2parks,2247.22045898,1442.22045898,1835.75598145,1081.66540527,3395.58544922,4472.13574219,707.106811523,360.555114746,11933.1474609,2729.46875
dist2agric,670.820373535,300.0,424.264068604,200.0,1562.04992676,2600.0,100.0,100.0,9596.35351562,1000.0
